ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
10696;"1it postipunkt";1;EE;"Harju maakond";Tallinn;"Kristiine linnaosa";;"Sõpruse pst";;33;;24.714293;59.420107;"E,T,K,N,R 10:00-18:00 L,P SULETUD";;;;;;;;;;2020-12-10T15:22:57.770+02:00
96243;"Abja Coop Konsumi pakiautomaat";0;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;13;;25.356108;58.125738;;;;;;;;;;;2020-11-25T02:00:03.720+02:00
69494;"Abja-Paluoja postipunkt";1;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;21;;25.353927;58.126151;"E,T,K,N,R 09:00-18:00 L 09:00-14:00 P SULETUD";;;"E,T,K,N,R 09:00-17:00";29.01.2021;;;;;;2021-01-18T12:27:22.460+02:00
48094;"Adavere postipunkt";1;EE;"Jõgeva maakond";"Põltsamaa vald";"Adavere alevik";;"Tallinna mnt";;4;;25.899187;58.706409;"L,P SULETUD";;;"E,T,K,N,R 10:00-17:00";29.01.2021;;;;;;2021-01-20T13:31:39.053+02:00
74594;"Aegviidu postipunkt";1;EE;"Harju maakond";"Anija vald";"Aegviidu alev";;"Piibe mnt";;8;;25.606648;59.288389;"E,T,N,R,P 10:00-16:00 K,L SULETUD";;;;;;;;;;2020-10-28T11:16:11.860+02:00
63794;"Ahja postipunkt";1;EE;"Põlva maakond";"Põlva vald";"Ahja alevik";;"Illimari tn";;6;;27.069935;58.206921;"E,T 16:00-18:00 K,N,R 11:00-13:00 L,P SULETUD";;;;;;;;;;2020-12-09T11:43:37.733+02:00
96142;"Ahtme Grossi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Maleva tn";;23;;27.420448;59.327422;;;;;;;;;;;2020-12-22T09:53:15.863+02:00
96123;"Ahtme Maxima XX pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Puru tee";;77;;27.420109;59.337921;;;;;;;;;;;2021-01-27T06:17:40.063+02:00
12994;"Aiandi postipunkt (Roserii looduspood)";1;EE;"Harju maakond";Tallinn;"Mustamäe linnaosa";;"Mustamäe tee";;60;;24.688512;59.413446;"T,K,N,R 12:30-14:30 E,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-17T12:04:27.073+02:00
9950;"Aizkraukles T/C Iga pakomāts";0;LV;"Aizkraukles novads";Aizkraukle;;;"Gaismas iela";;35;;25.259438;56.610274;;;;;;;;;"Pa labi no T/C ieejas";;2020-11-13T07:25:29.713+02:00
9980;"Aizputes Zvaigžņu ielas TOP pakomāts";0;LV;"Aizputes novads";Aizpute;;;"Zvaigžņu iela";;3;;21.607600;56.722417;;;;;;;;;"Pie otrās T/C ieejas";;2021-01-14T07:03:32.723+02:00
55583;"Akmenės NORFA Daukanto paštomatas";0;LT;"Šiaulių apskr.";"Akmenės r. sav.";"Akmenės m.";;"S. Daukanto g.";;7;;22.752311;56.243503;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T09:25:55.770+02:00
9183;"Aknīstes VESKO pakomāts";0;LV;"Aknīstes novads";Aknīste;;;"Skolas iela";;7;;25.741318;56.161816;;;;;;;;;"Pa labi no ieejas";;2020-11-13T05:47:19.243+02:00
68594;"Ala postipunkt";1;EE;"Valga maakond";"Tõrva vald";"Ala küla";;;;;;25.702107;58.009920;"E,T,K,N,R 10:00-19:00 L,P 10:00-15:00";;;;;;;;;;2021-01-21T07:37:10.997+02:00
60294;"Alatskivi postipunkt";1;EE;"Tartu maakond";"Peipsiääre vald";"Alatskivi alevik";;"Tartu mnt";;15;;27.134867;58.601967;"E,T,K,N,R 09:00-16:00 L 09:00-14:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2021-01-26T11:41:04.050+02:00
74494;"Alavere postipunkt";1;EE;"Harju maakond";"Anija vald";"Alavere küla";;"Oja tn";;1;;25.328382;59.245232;"E,T,K,N,R,L 10:00-19:00 P 10:00-17:00;Ligipääs ratastooliga";;;;;;;;;;2020-12-10T10:56:48.607+02:00
9192;"Alojas Mini TOP pakomāts";0;LV;"Alojas novads";Aloja;;;"Rīgas iela";;2;4;24.882478;57.766744;;;;;;;;;"Pa labi no ieejas";;2021-01-14T07:02:07.937+02:00
79696;"Alu postipunkt";1;EE;"Rapla maakond";"Rapla vald";"Alu alevik";;"Keskuse tee";;5;;24.762430;59.023026;"E,T,K,N,R 10:00-20:00 L 10:00-19:00 P 10:00-18:00";;;;;;;;;;2020-12-21T11:41:32.333+02:00
55507;"Alytaus IKI Juozapavičiaus paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"A. Juozapavičiaus g.";;13;;24.059837;54.403245;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, </br> už kampo";2021-01-15T09:21:35.620+02:00
55599;"Alytaus NORFA Jurgiškių paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Jurgiškių g.";;2;;24.013238;54.399716;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2021-01-15T09:23:44.190+02:00
88895;"Alytaus NORFA Topolių paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Topolių g.";;1;;24.028121;54.396665;;;;;;;;;;"Paštomatą rasite lauke prie sienos iš parkavimo aikštelės pusės";2021-01-15T09:27:11.533+02:00
88854;"Alytaus PC ARENA paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Naujoji g.";;7E;;24.016355;54.407723;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje pagrindinio įėjimo pusėje, </br> už kampo";2021-01-15T09:28:10.947+02:00
88855;"Alytaus RIMI Pulko paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Pulko g.";;51A;;24.043778;54.387953;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2021-01-15T09:28:56.477+02:00
9951;"Alūksnes Maxima X pakomāts";0;LV;"Alūksnes novads";Alūksne;;;"Pils iela";;9B;;27.039393;57.430149;;;;;;;;;"Pa labi no T/C ieejas";;2021-01-14T07:04:16.200+02:00
96118;"Antsla Coop Konsumi pakiautomaat";0;EE;"Võru maakond";"Antsla vald";"Antsla linn";;"F. R. Kreutzwaldi tn";;4a;;26.529708;57.828535;;;;;;;;;;;2021-01-27T06:17:22.730+02:00
66401;"Antsla postkontor";1;EE;"Võru maakond";"Antsla vald";"Antsla linn";;"F. R. Kreutzwaldi tn";;2;;26.529298;57.829043;"E,K 11:00-18:00 T,N,R 09:00-16:00 L,P SULETUD";;;;;;;;;;2020-12-04T09:43:52.727+02:00
88800;"Anykščių NORFA Vilniaus g. paštomatas";0;LT;"Utenos apskr.";"Anykščių r. sav.";"Anykščių m.";;"Vilniaus g.";;22;;25.098617;55.522851;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-27T07:27:28.780+02:00
55570;"Anykščių NORFA Žiburio paštomatas";0;LT;"Utenos apskr.";"Anykščių r. sav.";"Anykščių m.";;"Žiburio g.";;12;;25.118836;55.524932;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-29T08:32:50.250+02:00
96230;"Aravete Meie kaupluse pakiautomaat";0;EE;"Järva maakond";"Järva vald";"Aravete alevik";;"Piibe mnt";;16;;25.751375;59.144516;;;;;;;;;;;2019-07-23T07:40:28.550+03:00
73594;"Aravete postipunkt";1;EE;"Järva maakond";"Järva vald";"Aravete alevik";;"Piibe mnt";;16;;25.751514;59.144414;"E 09:00-12:00 T,K,N,R 09:00-15:00 L 10:00-13:00 P SULETUD";;;;;;;;;;2020-12-21T10:33:23.633+02:00
75095;"Ardu postipunkt";1;EE;"Harju maakond";"Kose vald";"Ardu alevik";;"Kesk tee";;6;;25.358704;59.099963;"E,T,N,R 09:00-12:30, 13:00-17:00 K 11:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-16T14:31:08.090+02:00
55508;"Ariogalos RŪTA paštomatas";0;LT;"Kauno apskr.";"Raseinių r. sav.";"Ariogalos m.";;"Melioratorių g.";;4;;23.481931;55.262334;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T10:59:00.603+02:00
11701;"Arsenali postkontor";1;EE;"Harju maakond";Tallinn;"Põhja-Tallinna linnaosa";;"Erika tn";;14;;24.717816;59.451722;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-07T14:14:34.243+02:00
96204;"Aruküla Coop Konsumi pakiautomaat ";0;EE;"Harju maakond";"Raasiku vald";"Aruküla alevik";;"Tallinna mnt";;8;;25.078001;59.370744;;;;;;;;;;;2021-01-15T06:37:27.417+02:00
75291;"Aruküla postkontor";1;EE;"Harju maakond";"Raasiku vald";"Aruküla alevik";;"Tallinna mnt";;8;;25.078082;59.370878;"T,K,R 09:30-14:30 N 10:30-18:00 L 10:00-13:00 E,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-04T09:52:09.230+02:00
96211;"Aseri Grossi pakiautomaat";0;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";;"Tehase tn";;23;;26.866788;59.449630;;;;;;;;;;;2019-08-21T09:07:10.457+03:00
43494;"Aseri postipunkt";1;EE;"Lääne-Viru maakond";"Viru-Nigula vald";"Aseri alevik";;Keskpõik;;2;;26.869575;59.452887;"T,K,N 10:00-14:00 R,L 12:00-16:00 E,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-09T11:29:58.417+02:00
93794;"Aste postipunkt";1;EE;"Saare maakond";"Saaremaa vald";"Aste alevik";;"Soo tn";;4;;22.444697;58.346347;"E 10:00-18:00 T,K,N 09:00-17:00 R 09:00-13:00 L,P SULETUD;Ligipääs ratastooliga";"15.02.2021 kuni 19.02.2021: SULETUD;24.02.2021 kuni 25.02.2021: SULETUD";25.02.2021;"23.02.2021: 09:00-14:00";23.02.2021;;;;;;2021-01-26T09:16:09.190+02:00
9158;"Auces TOP pakomāts";0;LV;"Auces novads";Auce;;;"Baznīcas iela";;1;;22.892116;56.464791;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-20T09:22:18.740+02:00
96238;"Audru osavallakeskuse pakiautomaat";0;EE;"Pärnu maakond";"Pärnu linn";"Audru alevik";;"Pärna allee";;7;;24.356219;58.407666;;;;;;;;;;;2019-10-18T05:19:13.543+03:00
88300;"Audru postkontor";1;EE;"Pärnu maakond";"Pärnu linn";"Audru alevik";;"Pärna allee";;7;;24.356331;58.407778;"E,T 09:00-18:00 K,N,R 09:00-16:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-04T09:55:41.113+02:00
9193;"Augšlīgatnes ELVI pakomāts";0;LV;"Līgatnes novads";"Līgatnes pagasts";Augšlīgatne;;"Nītaures iela";;5;;25.035167;57.183272;;;;;;;;;"Pa labi no T/C ieejas";;2020-11-13T05:58:34.347+02:00
11294;"Avera postipunkt";1;EE;"Harju maakond";Tallinn;"Nõmme linnaosa";;"Suur-Männiku tn";;8;;24.716222;59.369251;"E,T,K,N,R 09:00-17:00 L,P SULETUD";;;;;;;;;;2020-09-28T06:12:04.017+03:00
42095;"Avinurme postipunkt";1;EE;"Jõgeva maakond";"Mustvee vald";"Avinurme alevik";;"Võidu tn";;18;;26.870152;58.986011;"E,T,K,N,R,L,P 09:00-19:00;Ligipääs ratastooliga";;;;;;;;;;2020-04-09T08:54:01.377+03:00
9182;"Babītes ELVI pakomāts";0;LV;"Babītes novads";"Babītes pagasts";Babīte;;"Liepu aleja";;15A;;23.948282;56.956401;;;;;;;;;"Pa kreisi no T/C ieejas";;2020-11-13T10:46:28.923+02:00
55584;"Baisogalos NORFA paštomatas";0;LT;"Šiaulių apskr.";"Radviliškio r. sav.";"Baisogalos mstl.";;"Maironio g.";;11;;23.721187;55.639392;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:54:17.003+02:00
9127;"Baldones Mego pakomāts";0;LV;"Baldones novads";Baldone;;;"Rīgas iela";;79;;24.397414;56.742731;;;;;;;;;"Pa labi no galvenās ieejas";;2020-11-12T13:19:25.660+02:00
9970;"Baložu Mego pakomāts";0;LV;"Ķekavas novads";Baloži;;;"Rīgas iela";;14;;24.118521;56.875234;;;;;;;;;"Pa kreisi no T/C Centrālās ieejas";;2021-01-14T07:04:35.603+02:00
77756;"Baltosios Vokės KOOPS paštomatas";0;LT;"Vilniaus apskr.";"Šalčininkų r. sav.";"Baltosios Vokės m.";;"Vilniaus g.";;14A;;25.125602;54.455460;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T10:48:24.617+02:00
9982;"Balvu TOP pakomāts";0;LV;"Balvu novads";Balvi;;;"Partizānu iela";;8;;27.263968;57.132165;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2020-11-13T08:42:07.693+02:00
9940;"Bauskas Mini RIMI pakomāts";0;LV;"Bauskas novads";Bauska;;;"Zaļā iela";;3;;24.194196;56.407070;;;;;;;;;"Blakus T/C centrālajai ieejai";;2020-11-13T06:58:55.463+02:00
9201;"Bauskas Pionieru ielas RIMI pakomāts";0;LV;"Bauskas novads";Bauska;;;"Pionieru iela";;2;;24.188877;56.405837;;;;;;;;;"Pa kreisi no ieejas";;2020-11-13T10:43:46.233+02:00
55510;"Birštono IKI Dariaus ir Girėno paštomatas";0;LT;"Kauno apskr.";"Birštono sav.";"Birštono m.";;"S. Dariaus ir S. Girėno g.";;24;;24.028976;54.605420;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-29T09:21:03.300+02:00
55571;"Biržų MAXIMA Vabalninko g. paštomatas";0;LT;"Panevėžio apskr.";"Biržų r. sav.";"Biržų m.";;"Vabalninko g.";;8A;;24.737010;56.201059;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:25:56.047+02:00
88866;"Biržų NORFA paštomatas";0;LT;"Panevėžio apskr.";"Biržų r. sav.";"Biržų m.";;"Respublikos g.";;2;;24.769034;56.193955;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje parduotuvės įėjimo pusėje";2020-12-27T09:00:46.980+02:00
9997;"Brocēnu Mego pakomāts";0;LV;"Brocēnu novads";Brocēni;;;"Lielcieceres iela";;1;;22.566372;56.683105;;;;;;;;;"Pa labi no galvenās ieejas";;2020-11-13T10:41:39.767+02:00
9988;"Carnikavas Mego pakomāts";0;LV;"Carnikavas novads";;Carnikava;;"Rīgas iela";;14;;24.276075;57.128330;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2020-11-13T09:33:15.713+02:00
9137;"Cēsu Gaujas ielas Maxima X pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Gaujas iela";;1/3;;25.267205;57.309659;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-14T07:04:54.733+02:00
9194;"Cēsu T/C Globuss pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Raiņa iela";;26/28;;25.276853;57.309283;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2020-11-13T05:59:01.853+02:00
9921;"Cēsu Valmieras ielas Maxima XX pakomāts";0;LV;"Cēsu novads";Cēsis;;;"Valmieras iela";;17A;;25.280035;57.317123;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-14T07:05:17.613+02:00
9989;"Dagdas TOP pakomāts";0;LV;"Dagdas novads";Dagda;;;"Daugavpils iela";;6;;27.539632;56.095797;;;;;;;;;"Pa kreisi no ieejas";;2020-11-13T09:35:33.373+02:00
9211;"Daugavpils Arhitektu ielas Maxima X pakomāts";0;LV;Daugavpils;;;;"Arhitektu iela";;3;;26.559830;55.891602;;;;;;;;;"Pa kreisi no ieejas";;2021-01-14T07:06:26.533+02:00
9916;"Daugavpils T/C Aveņu centrs pakomāts";0;LV;Daugavpils;;;;"Raipoles iela";;11;;26.526382;55.901089;;;;;;;;;"Aveņu centra centrālās fasādes pusē";;2021-01-14T07:07:43.227+02:00
9918;"Daugavpils T/C Ditton pakomāts";0;LV;Daugavpils;;;;"Cietokšņa iela";;60;;26.516401;55.874596;;;;;;;;;"Krustojumā ar Kandavas ielu";;2020-11-13T06:33:32.823+02:00
9998;"Daugavpils Valkas ielas Mego pakomāts";0;LV;Daugavpils;;;;"Valkas iela";;1;;26.561261;55.879532;;;;;;;;;"Pa labi no ieejas";;2021-01-14T07:08:30.350+02:00
9941;"Dobeles Brīvības ielas RIMI pakomāts";0;LV;"Dobeles novads";Dobele;;;"Brīvības iela";;30;;23.283044;56.624913;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-14T07:09:33.090+02:00
9202;"Dobeles Zaļās ielas Maxima X pakomāts";0;LV;"Dobeles novads";Dobele;;;"Zaļā iela";;19;;23.284410;56.619777;;;;;;;;;"Pa labi no ieejas";;2021-01-14T07:09:57.320+02:00
88865;"Druskininkų IKI Čiurlionio paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"M. K. Čiurlionio g.";;107;;23.990209;54.011307;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje, už kampo";2021-01-15T09:31:57.030+02:00
55517;"Druskininkų TOPO CENTRAS paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"M. K. Čiurlionio g.";;55;;23.971283;54.016991;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2021-01-15T09:34:47.393+02:00
9163;"Dundagas Citro pakomāts";0;LV;"Dundagas novads";"Dundagas pagasts";Dundaga;;"Talsu iela";;1;;22.351583;57.509805;;;;;;;;;"Blakus T/C centrālajai ieejai";;2020-11-13T05:37:18.817+02:00
55572;"Dusetų SVAITA paštomatas";0;LT;"Utenos apskr.";"Zarasų r. sav.";"Dusetų m.";;"K. Būgos g.";;12;;25.839465;55.746157;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-29T09:27:43.057+02:00
50600;"Eedeni postkontor";1;EE;"Tartu maakond";"Tartu linn";"Tartu linn";;"Kalda tee";;1c;;26.748826;58.373434;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-04T09:57:53.197+02:00
88896;"Eišiškių NORFA paštomatas";0;LT;"Vilniaus apskr.";"Šalčininkų r. sav.";"Eišiškių m.";;"Vilniaus g.";;19;;24.997107;54.171449;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T09:21:56.217+02:00
9156;"Elejas TOP pakomāts";0;LV;"Jelgavas novads";"Elejas pagasts";Eleja;;"Stacijas iela";;2;;23.681133;56.408564;;;;;;;;;"Blakus T/C centrālajai ieejai";;2020-11-12T14:25:24.957+02:00
88853;"Elektrėnų MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Elektrėnų sav.";"Elektrėnų m.";;"Rungos g.";;4;;24.657607;54.785381;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T09:08:04.770+02:00
55500;"Elektrėnų NORFA paštomatas";0;LT;"Vilniaus apskr.";"Elektrėnų sav.";"Elektrėnų m.";;"Sabališkių g.";;1J;;24.680564;54.788298;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-27T10:48:58.323+02:00
96179;"Elva Arbimäe Coop Konsumi pakiautomaat";0;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Kirde tn";;3;;26.414854;58.234052;;;;;;;;;;;2020-12-15T11:42:30.450+02:00
96047;"Elva Turuplatsi Coop Konsumi pakiautomaat";0;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Kesk tn";;1;;26.408695;58.220997;;;;;;;;;;;2020-11-11T07:40:45.493+02:00
61599;"Elva postkontor";1;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Puiestee tn";;1;;26.406515;58.221024;"E,K 11:00-15:00, 15:30-19:00 T,N,R 10:00-15:00, 15:30-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2021-01-14T07:11:38.147+02:00
92094;"Emmaste postipunkt";1;EE;"Hiiu maakond";"Hiiumaa vald";"Emmaste küla";;;;;;22.596592;58.704999;"E,T,K,N,R,L 10:00-19:00 P 10:00-16:00;Ligipääs ratastooliga";;;;;;;;;;2021-01-21T07:39:33.873+02:00
9204;"Engures Citro pakomāts";0;LV;"Engures novads";"Engures pagasts";Engure;;"Jūras iela";;81;;23.229213;57.161086;;;;;;;;;"Pa kreisi no ieejas";;2020-11-13T06:19:21.167+02:00
10195;"Finest postkontor";1;EE;"Harju maakond";Tallinn;"Kesklinna linnaosa";;"Pärnu mnt";;22;;24.745200;59.431631;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-04T10:11:38.297+02:00
55552;"Gargždų MAXIMA Cvirkos paštomatas";0;LT;"Klaipėdos apskr.";"Klaipėdos r. sav.";"Gargždų m.";;"P. Cvirkos g.";;8;;21.396652;55.709622;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-27T19:56:14.910+02:00
88801;"Gargždų NORFA paštomatas";0;LT;"Klaipėdos apskr.";"Klaipėdos r. sav.";"Gargždų m.";;"Klaipėdos g.";;41;;21.380646;55.712518;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-11-13T21:30:38.593+02:00
9126;"Grobiņas TOP pakomāts";0;LV;"Grobiņas novads";Grobiņa;;;"Lielā iela";;74;;21.168189;56.535089;;;;;;;;;"Veikala pagalmā";;2020-11-12T13:21:49.707+02:00
9948;"Gulbenes Nākotnes ielas TOP pakomāts";0;LV;"Gulbenes novads";Gulbene;;;"Nākotnes iela";;6;;26.769707;57.166166;;;;;;;;;"Pa kreisi no ieejas";;2020-11-13T07:23:45.850+02:00
96206;"Haabneeme Coop Konsumi pakiautomaat";0;EE;"Harju maakond";"Viimsi vald";"Haabneeme alevik";;"Rohuneeme tee";;32;;24.819998;59.512982;;;;;;;;;;;2020-12-21T12:37:56.833+02:00
65047;"Haanja postipunkt";1;EE;"Võru maakond";"Rõuge vald";"Haanja küla";;"Võru tee";;7;;27.051338;57.720644;"E,T,K,N,R,L,P 10:00-20:00;Ligipääs ratastooliga";;;;;;;;;;2020-12-09T11:33:38.453+02:00
96128;"Haapsalu Kastani pakiautomaat";0;EE;"Lääne maakond";"Haapsalu linn";"Haapsalu linn";;"Kuuse tn";;28;;23.552364;58.936219;;;;;;;;;;;2021-01-18T06:17:17.480+02:00
96033;"Haapsalu Kaubamaja pakiautomaat";0;EE;"Lääne maakond";"Haapsalu linn";"Haapsalu linn";;"Tallinna mnt";;1;;23.542456;58.940430;;;;;;;;;;;2020-12-16T13:33:09.080+02:00
90501;"Haapsalu postkontor";1;EE;"Lääne maakond";"Haapsalu linn";"Haapsalu linn";;"Nurme tn";;2;;23.543124;58.941265;"E,T,K,N,R 10:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-04T10:12:55.250+02:00
60501;"Haava postkontor";1;EE;"Tartu maakond";"Tartu vald";"Kõrveküla alevik";;"Haava tn";;6;;26.765100;58.418631;"E,T,N,R 08:00-12:30 K 11:00-18:00 L,P SULETUD;Ligipääs ratastooliga";"Kuni 28.02.2021: SULETUD";28.02.2021;;;;;;;;2021-01-25T12:23:08.240+02:00
79697;"Hagudi postipunkt";1;EE;"Rapla maakond";"Rapla vald";"Hagudi alevik";;"Kooli tn";;1;;24.808493;59.064609;"E,T,N,R 10:00-18:00 K 15:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-28T07:04:40.990+02:00
96324;"Haljala Grossi pakiautomaat";0;EE;"Lääne-Viru maakond";"Haljala vald";"Haljala alevik";;"Võsu mnt";;5;;26.266585;59.433786;;;;;;;;;;;2020-12-11T10:03:57.293+02:00
45395;"Haljala postipunkt";1;EE;"Lääne-Viru maakond";"Haljala vald";"Haljala alevik";;"Rakvere mnt";;2;;26.266103;59.432174;"E,T,K,N,R 10:00-15:00 L,P SULETUD";;;;;;;;;;2020-12-22T09:01:12.370+02:00
69594;"Halliste postipunkt";1;EE;"Viljandi maakond";"Mulgi vald";"Kulla küla";;;Leerimaja;;;25.427000;58.155413;"E,T,N 10:00-17:00 K 10:00-18:00 R 10:00-16:00 L,P SULETUD";;;;;;;;;;2021-01-26T12:39:02.717+02:00
68094;"Hargla postipunkt";1;EE;"Valga maakond";"Valga vald";"Hargla küla";;;;;;26.398820;57.613742;"E,T,K,N,R 10:00-16:00 L,P SULETUD";;;;;;;;;;2021-01-21T08:41:30.087+02:00
76992;"Harku postkontor";1;EE;"Harju maakond";"Harku vald";"Harku alevik";;"Instituudi tee";;2;;24.580372;59.391082;"T,K,R,L 09:00-12:00 N 15:00-18:00 E,P SULETUD";;;;;;;;;;2020-12-04T10:16:11.303+02:00
45294;"Hulja postipunkt (Reeda pood)";1;EE;"Lääne-Viru maakond";"Kadrina vald";"Hulja alevik";;"Vandu tee";;2;;26.216172;59.353102;"E,T,K,N,R,L 10:00-19:00 P SULETUD";;;;;;;;;;2020-03-17T09:39:40.600+02:00
68494;"Hummuli postipunkt";1;EE;"Valga maakond";"Tõrva vald";"Hummuli alevik";;;;;;26.054607;57.906246;"E,T,K,N,R 10:00-19:00 L 10:00-18:00 P SULETUD";;;;;;;;;;2021-01-21T11:01:44.207+02:00
96233;"Häädemeeste Coop Konsumi pakiautomaat";0;EE;"Pärnu maakond";"Häädemeeste vald";"Häädemeeste alevik";;"Pärnu mnt";;40;;24.498441;58.078471;;;;;;;;;;;2020-12-16T07:30:10.437+02:00
86000;"Häädemeeste postkontor";1;EE;"Pärnu maakond";"Häädemeeste vald";"Häädemeeste alevik";;"Pärnu mnt";;22;;24.501509;58.082205;"E,T,N,R 08:30-15:00 K 08:30-17:30 L,P SULETUD";;;;;;;;;;2020-12-04T10:17:28.090+02:00
9987;"Iecavas Maxima X pakomāts";0;LV;"Iecavas novads";;Iecava;;"Rīgas iela";;27;;24.196917;56.597866;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2020-11-13T09:32:43.357+02:00
