ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
55594;"Šiaulių Ginkūnų MAXIMA paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių r. sav.";"Ginkūnų k.";;"Rasos g.";;1A;;23.356550;55.953647;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-27T19:35:36.960+02:00
55590;"Šiaulių IKI Gardino paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Gardino g.";;2;;23.273090;55.913581;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, </br> už kampo, šalia laiptų";2020-12-29T08:38:03.647+02:00
55588;"Šiaulių IKI Gegužių paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Gegužių g.";;21;;23.266545;55.902484;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-29T08:37:10.790+02:00
55589;"Šiaulių IKI Lyros paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Lyros g.";;19A;;23.262413;55.914849;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:46:39.553+02:00
55593;"Šiaulių IKI Vilniaus 15E paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Vilniaus g.";;15E;;23.348021;55.923165;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:47:36.407+02:00
55592;"Šiaulių KUBAS Vytauto paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Vytauto g.";;122;;23.304701;55.932324;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:55:31.620+02:00
88844;"Šiaulių MOKI-VEŽI paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Pramonės g.";;7;;23.301418;55.917301;;;;;;;;;;"Paštomatą rasite lauke prie stiklinės vitrinos,  kairėje įėjimo į parduotuvę pusėje";2020-12-27T08:51:03.767+02:00
55591;"Šiaulių NORFA Gumbinės paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Gumbinės g.";;145A;;23.282849;55.941648;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-29T08:59:25.450+02:00
77721;"Šiaulių NORFA Tilžės 13A paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Tilžės g.";;13A;;23.268283;55.911591;;;;;;;;;;"Paštomatą rasite lauke prie sienos, iš parkavimo aikštelės pusės";2020-12-23T14:10:25.403+02:00
88880;"Šiaulių NORFA Valančiaus paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"M. Valančiaus g.";;18;;23.305211;55.938639;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į prekybos centrą pusėje";2020-12-27T07:42:10.833+02:00
88842;"Šiaulių PC ARENA paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Gegužių g.";;30;;23.258636;55.906536;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į JYSK pusėje";2020-12-27T08:49:56.147+02:00
77741;"Šiaulių PC SAULĖS MIESTAS paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Tilžės g.";;109;;23.307622;55.928760;;;;;;;;;;"Paštomatą rasite lauke prie sienos, iš Autobusų stoties perono pusės";2020-12-23T14:19:44.347+02:00
55511;"Šiaulių VC YOUR SANDBOX paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Tilžės g.";;157;;23.315796;55.932059;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į verslo centrą pusėje";2020-12-27T12:45:31.123+02:00
55595;"Šiaulių VIADA Basanavičiaus paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"J. Basanavičiaus g.";;122A;;23.315962;55.954719;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į degalinę pusėje, už kampo";2020-12-27T13:01:06.710+02:00
88843;"Šiaulių VIADA Tilžės paštomatas";0;LT;"Šiaulių apskr.";"Šiaulių m. sav.";"Šiaulių m.";;"Tilžės g.";;274;;23.331217;55.944092;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į degalinę pusėje";2020-12-27T08:48:59.107+02:00
55567;"Šilalės MAXIMA paštomatas";0;LT;"Tauragės apskr.";"Šilalės r. sav.";"Šilalės m.";;"Dariaus ir Girėno g.";;12;;22.179654;55.490680;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-27T19:37:42.380+02:00
88825;"Šilalės NORFA paštomatas";0;LT;"Tauragės apskr.";"Šilalės r. sav.";"Šilalės m.";;"Tauragės g.";;1;;22.194947;55.487667;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-27T09:15:08.143+02:00
77746;"Šilutės MAXIMA Miško paštomatas";0;LT;"Klaipėdos apskr.";"Šilutės r. sav.";"Šilutės m.";;"Miško g.";;7;;21.479475;55.350704;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, </br> už kampo";2021-01-15T12:00:38.683+02:00
77722;"Širvintų MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Širvintų r. sav.";"Širvintų m.";;"I. Šeiniaus g.";;19;;24.954113;55.038301;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T09:26:52.583+02:00
55503;"Širvintų VIADA paštomatas";0;LT;"Vilniaus apskr.";"Širvintų r. sav.";"Širvintų m.";;"Plento g.";;4;;24.942564;55.045696;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į degalinę pusėje";2020-12-29T08:33:49.580+02:00
77723;"Švenčionių MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Švenčionių r. sav.";"Švenčionių m.";;"Vilniaus g.";;37;;26.150636;55.129934;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T09:25:29.933+02:00
55504;"Švenčionėlių NORFA paštomatas";0;LT;"Vilniaus apskr.";"Švenčionių r. sav.";"Švenčionėlių m.";;"Žemutinė g.";;26;;26.003876;55.169391;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-29T08:23:54.910+02:00
55568;"Švėkšnos AIBĖ Bažnyčios 7 paštomatas";0;LT;"Klaipėdos apskr.";"Šilutės r. sav.";"Švėkšnos mstl.";;"Bažnyčios g.";;7;;21.620041;55.516879;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-27T19:34:44.220+02:00
55551;"Žiežmarių MAXIMA paštomatas";0;LT;"Kauno apskr.";"Kaišiadorių r. sav.";"Žiežmarių m.";;"Žaslių g.";;78;;24.451277;54.811513;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje, </br> šalia taromato";2021-01-15T12:08:27.630+02:00
